,SecId,LegalName,Name,IndustryName,SectorName,Ticker,ClosePrice,MarketCap,TenforeId,Universe,ExchangeId
0,0P00000003,1-800-Flowers.com Inc Class A,1-800-Flowers.com Inc Class A,Specialty Retail,Consumer Cyclical,FLWS,7.27,471106250,126.1.FLWS,E0EXG$XNAS,EX$$$$XNAS
1,0P0001NHF3,10X Capital Venture Acquisition Corp II Ordinary Shares - Class A,10X Capital Venture Acquisition Corp II Ordinary Shares - Class A,Shell Companies,Financial Services,VCXA,10.57,99793695,126.1.VCXA,E0EXG$XNAS,EX$$$$XNAS
2,0P0001N3HZ,10X Capital Venture Acquisition Corp II Units (1 Ord Share Class A & 1/3 War),10X Capital Venture Acquisition Corp II Units (1 Ord Share Class A & 1/3 War),Shell Companies,Financial Services,VCXAU,10.52,,126.1.VCXAU,E0EXG$XNAS,EX$$$$XNAS
3,0P0001ID93,10x Genomics Inc Ordinary Shares - Class A,10x Genomics Inc Ordinary Shares - Class A,Health Information Services,Healthcare,TXG,37.29,4378525236,126.1.TXG,E0EXG$XNAS,EX$$$$XNAS
4,0P0001EEY7,111集团 1 ADR represents 2 Class Common stocks,111 Inc 1 ADR represents 2 Class Common stocks,Pharmaceutical Retailers,Healthcare,YI,2.14,179745535,126.1.YI,E0EXG$XNAS,EX$$$$XNAS
5,0P0001L8JA,一起教育科技集团公司 ADR,17 Education & Technology Group Inc ADR,Education & Training Services,Consumer Defensive,YQ,0.7,34064766,126.1.YQ,E0EXG$XNAS,EX$$$$XNAS
6,0P0000RQ95,180 Degree Capital Corp,180 Degree Capital Corp,Asset Management,Financial Services,TURN,3.845,38450542,126.1.TURN,E0EXG$XNAS,EX$$$$XNAS
7,0P0001L35C,180 Life Sciences Corp Ordinary Shares,180 Life Sciences Corp Ordinary Shares,Biotechnology,Healthcare,ATNF,0.456,2728937,126.1.ATNF,E0EXG$XNAS,EX$$$$XNAS
8,0P0001FFH4,1895 Bancorp of Wisconsin Inc Ordinary Shares,1895 Bancorp of Wisconsin Inc Ordinary Shares,Banks - Regional,Financial Services,BCOW,6.25,38469231,126.1.BCOW,E0EXG$XNAS,EX$$$$XNAS
9,0P00000009,1st Source Corp,1st Source Corp,Banks - Regional,Financial Services,SRCE,44.89,1096621535,126.1.SRCE,E0EXG$XNAS,EX$$$$XNAS
10,0P0001MLW8,1stdibs.com Inc Ordinary Shares,1stdibs.com Inc Ordinary Shares,Internet Retail,Consumer Cyclical,DIBS,3.97,155122976,126.1.DIBS,E0EXG$XNAS,EX$$$$XNAS
11,0P0000KXTO,22nd Century Group Inc,22nd Century Group Inc,Tobacco,Consumer Defensive,XXII,0.496,14224613,126.1.XXII,E0EXG$XNAS,EX$$$$XNAS
12,0P0001MQ0N,23andMe Holding Co Class A,23andMe Holding Co Class A,Diagnostics & Research,Healthcare,ME,0.7422,350918791,126.1.ME,E0EXG$XNAS,EX$$$$XNAS
13,0P0001NKNL,2seventy bio Inc Ordinary Shares,2seventy bio Inc Ordinary Shares,Biotechnology,Healthcare,TSVT,2.55,128180028,126.1.TSVT,E0EXG$XNAS,EX$$$$XNAS
14,0P00012FOS,2U Inc,2U Inc,Education & Training Services,Consumer Defensive,TWOU,1.94,157954737,126.1.TWOU,E0EXG$XNAS,EX$$$$XNAS
15,0P0001IO0D,36氪控股公司 ADR,36KR Holdings Inc ADR,Internet Content & Information,Communication Services,KRKR,0.7401,28848164,126.1.KRKR,E0EXG$XNAS,EX$$$$XNAS
16,0P000007LY,374Water Inc,374Water Inc,Pollution & Treatment Controls,Industrials,SCWO,1.56,206960686,126.1.SCWO,E0EXG$XNAS,EX$$$$XNAS
17,0P0001LAN6,4D Molecular Therapeutics Inc Ordinary Shares,4D Molecular Therapeutics Inc Ordinary Shares,Biotechnology,Healthcare,FDMT,10.6,445761588,126.1.FDMT,E0EXG$XNAS,EX$$$$XNAS
18,0P0001ONRU,5E Advanced Materials Inc,5E Advanced Materials Inc,Specialty Chemicals,Basic Materials,FEAM,2.44,107892910,126.1.FEAM,E0EXG$XNAS,EX$$$$XNAS
19,0P0001R24N,60 Degrees Pharmaceuticals Inc,60 Degrees Pharmaceuticals Inc,Biotechnology,Healthcare,SXTP,0.661,3828273,126.1.SXTP,E0EXG$XNAS,EX$$$$XNAS
20,0P0001LPUN,7GC & Co Holdings Inc Class A,7GC & Co Holdings Inc Class A,Shell Companies,Financial Services,VII,10.6,96244162,126.1.VII,E0EXG$XNAS,EX$$$$XNAS
21,0P0001LEHP,7GC & Co Holdings Inc Units (1 Ord Share Class A & 1/2 War),7GC & Co Holdings Inc Units (1 Ord Share Class A & 1/2 War),Shell Companies,Financial Services,VIIAU,10.67,,126.1.VIIAU,E0EXG$XNAS,EX$$$$XNAS
22,0P0001IO0C,89bio Inc Ordinary Shares,89bio Inc Ordinary Shares,Biotechnology,Healthcare,ETNB,6.87,519308481,126.1.ETNB,E0EXG$XNAS,EX$$$$XNAS
23,0P0000000N,8x8 Inc,8x8 Inc,Software - Application,Technology,EGHT,2.28,274675682,126.1.EGHT,E0EXG$XNAS,EX$$$$XNAS
24,0P0001LCH5,908 Devices Inc Ordinary Shares,908 Devices Inc Ordinary Shares,Medical Devices,Healthcare,MASS,5.24,169431124,126.1.MASS,E0EXG$XNAS,EX$$$$XNAS
25,0P0001RCZT,99 Acquisition Group Inc Ordinary Shares - Class A,99 Acquisition Group Inc Ordinary Shares - Class A,Shell Companies,Financial Services,NNAG,10.13,105858500,126.1.NNAG,E0EXG$XNAS,EX$$$$XNAS
26,0P0001RCRP,"99 Acquisition Group Inc Units (1 Ord Class A, 1 War & 1 Rts)","99 Acquisition Group Inc Units (1 Ord Class A, 1 War & 1 Rts)",Shell Companies,Financial Services,NNAGU,10.3,,126.1.NNAGU,E0EXG$XNAS,EX$$$$XNAS
27,0P0001I7V9,玖富有限公司 ADR,9F Inc ADR,Information Technology Services,Technology,JFU,3,35319999,126.1.JFU,E0EXG$XNAS,EX$$$$XNAS
28,0P00012F44,A-Mark Precious Metals Inc,A-Mark Precious Metals Inc,Capital Markets,Financial Services,AMRK,28.13,660545070,126.1.AMRK,E0EXG$XNAS,EX$$$$XNAS
29,0P0001P6O8,A SPAC II Acquisition Corp Ordinary Shares - Class A,A SPAC II Acquisition Corp Ordinary Shares - Class A,Shell Companies,Financial Services,ASCB,11.1085,81052003,126.1.ASCB,E0EXG$XNAS,EX$$$$XNAS
30,0P0001P040,"A SPAC II Acquisition Corp Units (1 Ord Class A, 1/2 War & 1 Right)","A SPAC II Acquisition Corp Units (1 Ord Class A, 1/2 War & 1 Right)",Shell Companies,Financial Services,ASCBU,10.84,,126.1.ASCBU,E0EXG$XNAS,EX$$$$XNAS
31,0P0001JU1A,A2Z Smart Technologies Corp Ordinary Shares,A2Z Smart Technologies Corp Ordinary Shares,Aerospace & Defense,Industrials,AZ,1.31,48576079,126.1.AZ,E0EXG$XNAS,EX$$$$XNAS
32,0P0001N781,Aadi Bioscience Inc,Aadi Bioscience Inc,Biotechnology,Healthcare,AADI,4.28,104209405,126.1.AADI,E0EXG$XNAS,EX$$$$XNAS
33,0P00000012,AAON Inc,AAON Inc,Building Products & Equipment,Industrials,AAON,53.82,4392222375,126.1.AAON,E0EXG$XNAS,EX$$$$XNAS
34,0P0001R9WW,Abacus Life Inc Ordinary Shares - Class A,Abacus Life Inc Ordinary Shares - Class A,Insurance - Life,Financial Services,ABL,6.07,401065952,126.1.ABL,E0EXG$XNAS,EX$$$$XNAS
35,0P0000TO60,Abcam PLC ADR,Abcam PLC ADR,Biotechnology,Healthcare,ABCM,22.87,5074832151,126.1.ABCM,E0EXG$XNAS,EX$$$$XNAS
36,0P0001LAN7,AbCellera Biologics Inc Ordinary Shares,AbCellera Biologics Inc Ordinary Shares,Biotechnology,Healthcare,ABCL,4.14,1197933289,126.1.ABCL,E0EXG$XNAS,EX$$$$XNAS
37,0P0000004H,Abeona Therapeutics Inc,Abeona Therapeutics Inc,Biotechnology,Healthcare,ABEO,3.84,95062552,126.1.ABEO,E0EXG$XNAS,EX$$$$XNAS
38,0P0001ROJW,Abivax SA ADR,Abivax SA ADR,Biotechnology,Healthcare,ABVX,9.05,584834693,126.1.ABVX,E0EXG$XNAS,EX$$$$XNAS
39,0P0001RIA2,Able View Global Inc Ordinary Shares - Class B,Able View Global Inc Ordinary Shares - Class B,Advertising Agencies,Communication Services,ABLV,2.45,106745267,126.1.ABLV,E0EXG$XNAS,EX$$$$XNAS
40,0P0001N97Z,Abri SPAC I Inc Ordinary Shares,Abri SPAC I Inc Ordinary Shares,Shell Companies,Financial Services,ASPA,27.05,65196613,126.1.ASPA,E0EXG$XNAS,EX$$$$XNAS
41,0P0001N2QB,Abri SPAC I Inc Units (1 Ord & 1 War),Abri SPAC I Inc Units (1 Ord & 1 War),Shell Companies,Financial Services,ASPAU,28.99,,126.1.ASPAU,E0EXG$XNAS,EX$$$$XNAS
42,0P0001MYGZ,Absci Corp,Absci Corp,Biotechnology,Healthcare,ABSI,1.15,106617597,126.1.ABSI,E0EXG$XNAS,EX$$$$XNAS
43,0P0000CP4T,ABVC BioPharma Inc,ABVC BioPharma Inc,Biotechnology,Healthcare,ABVC,1.28,5057776,126.1.ABVC,E0EXG$XNAS,EX$$$$XNAS
44,0P00018OKR,AC Immune SA,AC Immune SA,Biotechnology,Healthcare,ACIU,2.9,244746837,126.1.ACIU,E0EXG$XNAS,EX$$$$XNAS
