,SecId,LegalName,Name,IndustryName,SectorName,Ticker,ClosePrice,MarketCap,TenforeId,Universe,ExchangeId
0,0P0000000G,3D Systems Corp,3D Systems Corp,Computer Hardware,Technology,DDD,3.68,491533202.0,126.1.DDD,E0EXG$XNYS,EX$$$$XNYS
1,0P0000000I,3M Co,3M Co,Conglomerates,Industrials,MMM,88.65,48962905418.0,126.1.MMM,E0EXG$XNYS,EX$$$$XNYS
2,0P0001NAQE,a.k.a. Brands Holding Corp,a.k.a. Brands Holding Corp,Internet Retail,Consumer Cyclical,AKA,6.58,75323842.0,126.1.AKA,E0EXG$XNYS,EX$$$$XNYS
3,0P0000000Y,A.O. Smith Corp,A.O. Smith Corp,Specialty Industrial Machinery,Industrials,AOS,69.12,10401908197.0,126.1.AOS,E0EXG$XNYS,EX$$$$XNYS
4,0P00012D3T,A10 Networks Inc,A10 Networks Inc,Software - Infrastructure,Technology,ATEN,10.95,811510434.0,126.1.ATEN,E0EXG$XNYS,EX$$$$XNYS
5,0P00000013,AAR Corp,AAR Corp,Aerospace & Defense,Industrials,AIR,58.04,2048521625.0,126.1.AIR,E0EXG$XNYS,EX$$$$XNYS
6,0P0000003P,Abbott Laboratories,Abbott Laboratories,Medical Devices,Healthcare,ABT,93.98,163088942960.0,126.1.ABT,E0EXG$XNYS,EX$$$$XNYS
7,0P0000XPGW,AbbVie Inc,AbbVie Inc,Drug Manufacturers - General,Healthcare,ABBV,145.2,256284777936.0,126.1.ABBV,E0EXG$XNYS,EX$$$$XNYS
8,0P0000003R,Abercrombie & Fitch Co Class A,Abercrombie & Fitch Co Class A,Apparel Retail,Consumer Cyclical,ANF,59.85,3013870699.0,126.1.ANF,E0EXG$XNYS,EX$$$$XNYS
9,0P00000017,ABM Industries Inc,ABM Industries Inc,Specialty Business Services,Industrials,ABM,39.61,2595728619.0,126.1.ABM,E0EXG$XNYS,EX$$$$XNYS
