,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
0,AlmaPlatinumIV Selwood Mkt NtrlCrdtI1C-E,52.8.LU1769346898,11.24,28.87,2.24,1.79,13.76,0.22,False,,,
1,AlmaPlatinumIV Selwood Mkt NtrlCrdtI1C-U,52.8.LU1769346971,12.91,21.04,7.65,5.09,12.32,0.63,False,,,
2,AlmaPlatinumIV Selwood Mkt NtrlCrdtR1C-E,52.8.LU1769346039,10.94,28.4,1.85,1.38,13.76,0.19,False,,,
3,AlmaPlatinumIV Selwood Mkt NtrlCrdtR1C-U,52.8.LU1769346112,12.55,20.56,7.21,4.65,12.32,0.6,False,,,
4,Alos Retorno Absoluto Gobiernos FI,52.8.ES0108582018,0.78,,,,,,False,,,
5,Amundi Chenavari Credit A EUR Acc,52.8.IE00BWFRC140,-0.53,1.04,0.19,1.19,3.25,0.03,False,,,
6,Amundi Chenavari Credit SI EUR Acc,52.8.IE00BYSGCK11,0.28,2.13,1.11,2.0,3.24,0.31,False,,,
7,Amundi Chenavari Credit SSI EUR Acc,52.8.IE00BL71KB37,0.4,2.3,1.25,,3.26,0.35,False,,,
8,Amundi Chenavari Credit I EUR Acc,52.8.IE00BWFRBY02,0.1,1.86,0.95,1.83,3.24,0.26,False,,,
9,Amundi Chenavari Credit SI USD Acc,52.8.IE00BWZMS996,1.85,-4.14,6.21,5.15,7.99,0.74,False,,,
10,Aviva Investors GlConvtAbsRet Ah EUR Acc,52.8.LU0459998232,-1.22,0.95,-5.01,-1.08,5.37,-0.89,False,-0.72,-5.56,58.9
11,Aviva Investors GlConvtAbsRet I USD Acc,52.8.LU0459997697,1.68,-3.72,1.1,3.2,7.27,0.19,False,4.31,-1.54,34.65
12,Aviva Investors GlConvtAbsRet Iah GBPInc,52.8.LU0459999123,2.49,4.02,-1.83,0.86,7.39,-0.17,False,0.59,-1.53,68.64
13,Aviva Investors GlConvtAbsRet Ih EUR Acc,52.8.LU0459998588,-0.55,1.78,-4.26,-0.34,5.36,-0.75,False,0.02,-4.78,58.97
14,Aviva Investors GlConvtAbsRet Rh EURAcc,52.8.LU1859007624,-0.57,1.76,-4.3,-0.45,5.36,-0.75,False,,-4.82,59.05
15,Blackstone MN Sysmc Crdt A Fndr USD,,6.43,1.36,6.04,4.9,7.61,0.7,False,5.05,0.44,0.06
16,Blackstone MN Sysmc Crdt B Inst EUR,,-2.38,-3.95,,,,,False,,,
17,BNY Mellon Abs Ret Glb Cnvrt CHF F Acc H,52.8.IE00BJQR5P79,-0.4,-0.73,,,,,False,,,
18,BNY Mellon Abs Ret Glb Cnvrt CHF U Acc H,,-1.96,-2.99,,,,,False,,,
19,BNY Mellon Abs Ret Glb Cnvrt EUR F Acc,52.8.IE00BJQR5L32,-2.7,-2.39,,,,,False,,,
20,BNY Mellon Abs Ret Glb Cnvrt EUR R Acc,52.8.IE00BJQR6766,-3.6,-3.52,,,,,False,,,
21,BNY Mellon Abs Ret Glb Cnvrt EUR U Acc,52.8.IE00BJQR5F71,-3.01,-2.79,-1.47,,2.68,-0.48,False,,-1.0,1.09
22,BNY Mellon Abs Ret Glb Cnvrt EUR X Acc,52.8.IE00BJQR5R93,-2.39,-2.0,-0.51,,3.0,-0.08,False,,0.11,1.1
23,BNY Mellon Abs Ret Glb Cnvrt GBP F Acc H,52.8.IE00BJQR5M49,0.3,-0.18,1.24,,5.72,0.28,False,,1.38,0.98
24,BNY Mellon Abs Ret Glb CnvrtGBPStrgXAccH,52.8.IE00BJQR5S01,0.63,0.22,,,,,False,,,
25,BNY Mellon Abs Ret Glb Cnvrt GBP U Acc H,52.8.IE00BJQR5G88,-0.03,-0.58,,,,,False,,,
26,BNY Mellon Abs Ret Glb Cnvrt USD F Acc H,52.8.IE00BJQR5N55,-0.52,-7.91,3.96,,7.51,0.54,False,,-0.7,0.1
27,BNY Mellon Abs Ret Glb Cnvrt USD U Acc H,52.8.IE00BJQR5H95,-0.85,-8.28,3.62,,7.49,0.5,False,,-1.02,0.1
28,Candriam Index Arbitrage Classique EUR,52.8.FR0010016477,3.29,3.37,1.26,1.12,1.15,0.6,False,0.67,0.56,1.02
29,Candriam Index Arbitrage I,52.8.FR0012502268,3.39,3.5,1.4,1.26,1.14,0.74,False,,0.7,1.02
30,Candriam Index Arbitrage R,52.8.FR0012088771,3.39,3.49,1.39,1.27,1.14,0.74,False,,0.69,1.02
31,Candriam Index Arbitrage V,52.8.FR0011510023,3.38,3.49,1.42,1.29,1.13,0.76,False,0.84,0.72,1.02
32,Elysium Global Arbitrage EUR,52.8.MT7000023800,10.88,12.64,21.36,,5.19,3.6,False,,,
33,Helium Fund Invest A EUR,52.8.LU1995653893,3.47,4.77,5.02,,4.26,1.28,False,,6.33,1.19
34,Helium Fund Invest B EUR,52.8.LU1995645790,3.01,4.2,4.48,,4.26,1.16,False,,5.8,1.19
35,Helium Fund Invest BLC EUR Cap,52.8.LU1995646335,3.44,4.72,4.98,,4.26,1.27,False,,6.29,1.19
36,Helium Fund Invest D EUR,52.8.LU1995646509,3.26,4.5,5.4,,4.45,1.32,False,,6.81,1.19
37,Helium Fund Invest S EUR,52.8.LU1995645956,3.55,4.87,5.12,,4.26,1.3,False,,6.42,1.19
38,Helium Fund Selection A-EUR,52.8.LU1112771255,4.18,7.57,8.61,6.34,4.61,1.73,False,,9.16,1.24
39,Helium Fund Selection B Clean-EUR,52.8.LU1734046979,4.13,7.51,8.56,6.32,4.61,1.72,False,,9.13,1.24
40,Helium Fund Selection B-EUR,52.8.LU1112771503,3.72,7.1,8.14,5.85,4.66,1.63,False,,8.78,1.24
41,Helium Fund Selection S-EUR,52.8.LU1112771768,4.41,7.87,9.21,6.79,4.72,1.81,False,,9.75,1.25
42,HI Numen Credit CHF D,52.8.IE00BLG31510,-3.7,-5.6,4.79,4.32,8.62,0.6,False,,,
43,HI Numen Credit CHF DM2,52.8.IE00BLG31171,-2.16,-3.97,5.53,5.04,8.44,0.69,False,,,
44,HI Numen Credit CHF R,,7.18,28.19,8.68,3.41,10.78,0.84,False,,,
45,HI Numen Credit EUR D,52.8.IE00BLG31403,-6.25,-7.62,1.11,1.02,8.72,0.26,False,,,
46,HI Numen Credit EUR DM,52.8.IE00B7C3TR53,-5.53,-6.72,2.17,2.04,8.67,0.38,False,1.72,,
47,HI Numen Credit EUR DM2,52.8.IE00BLG31064,-5.76,-7.0,1.49,1.51,8.4,0.31,False,,,
48,HI Numen Credit EUR FOF,52.8.IE00B84M0855,-6.1,-7.42,2.57,1.98,9.58,0.4,False,,,
49,HI Numen Credit EUR I Initial,52.8.IE00B5M5F022,-5.53,-6.72,2.56,2.28,8.97,0.42,False,1.9,,
50,HI Numen Credit EUR I,52.8.IE00B4ZWPV43,-5.91,-7.19,1.74,1.59,8.76,0.33,False,1.27,,
51,HI Numen Credit EUR I2,52.8.IE00BLG30Y36,-5.91,-7.19,1.36,1.36,8.48,0.3,False,,,
52,HI Numen Credit EUR R,52.8.IE00B59FC488,-6.1,-7.42,1.57,1.39,8.85,0.31,False,1.05,,
53,HI Numen Credit GBP DM2,,-4.47,-5.85,-2.59,,8.05,,False,,,
54,HI Numen Credit USD D,52.8.IE00BLG31627,-3.94,-12.3,6.02,4.06,10.39,0.66,False,,,
55,HI Numen Credit USD DM2,52.8.IE00BLG31288,-1.29,-9.76,7.44,5.11,10.71,0.77,False,,,
56,HI Numen Credit USD R,,1.1,7.93,0.67,4.2,7.98,0.18,False,,,
57,KLS Ionic Relative Val Arbtrg F EUR Acc,52.8.IE00BLR66B03,-1.2,-2.74,-0.25,,7.68,0.03,False,,,
58,KLS Ionic Relative Val Arbtrg F GBP Acc,52.8.IE00BLR66C10,2.21,-0.15,2.31,,9.61,0.31,False,,,
59,KLS Ionic Relative Val Arbtrg F USD Acc,52.8.IE00BLR66984,1.17,-8.05,5.11,,10.24,0.53,False,,,
60,KLS Ionic Relative Val Arbtrg I CHF Acc,52.8.IE00BLR66H64,1.07,-1.09,,,,,False,,,
61,KLS Ionic Relative Val Arbtrg I EUR Acc,52.8.IE00BLR66G57,-1.57,-3.19,-0.94,,7.85,-0.06,False,,,
62,KLS Ionic Relative Val Arbtrg I GBP Acc,52.8.IE00BLR66J88,1.83,-0.6,,,,,False,,,
63,KLS Ionic Relative Val Arbtrg I USD Acc,52.8.IE00BLR66F41,0.8,-8.47,,,,,False,,,
64,KLS Ionic Relative Val Arbtrg SI EUR Acc,52.8.IE00BLR66Q55,-1.41,-2.99,,,,,False,,,
65,KLS Ionic Relative Val Arbtrg SI GBP Acc,52.8.IE00BLR66R62,2.0,-0.4,,,,,False,,,
66,KLS Ionic Relative Val Arbtrg SI USD Acc,52.8.IE00BLR66P49,0.96,-8.28,,,,,False,,,
67,KLS Ionic Relative Val Arbtrg SIF EURAcc,,-6.66,-7.94,,,,,False,,,
68,KLS Ionic Relative Val Arbtrg SIF USDAcc,52.8.IE00BLR66T86,0.35,-8.97,4.74,,11.03,0.47,False,,,
69,Lazard Rathmore Alternative A Acc EUR H,52.8.IE00BG1V1C27,3.04,4.72,2.84,4.05,5.27,0.6,False,,0.48,1.24
70,Lazard Rathmore Alternative BP Acc EUR H,52.8.IE00BFZ4RX34,1.99,3.39,1.6,,5.27,0.37,False,,-0.72,1.24
71,Lazard Rathmore Alternative C Acc EUR H,52.8.IE00BFZ4RW27,3.06,4.74,2.91,,5.41,0.6,False,,0.6,1.26
72,Lazard Rathmore Alternative S Acc EUR H,52.8.IE00BKPLQQ52,3.24,4.97,2.96,,5.27,0.62,False,,0.59,1.24
73,Lazard Rathmore Alternative S Acc USD,52.8.IE00BJXC5N38,5.49,-0.97,8.55,,7.87,1.08,False,,4.38,0.66
74,Lumyna Bluecove Alt Crdt UCITS D GBP Acc,52.8.LU2225892152,2.98,2.77,,,,,False,,,
75,Lumyna Bluecove Alt Crdt UCITS B EUR Acc,52.8.LU2225891931,,,,,,,False,,,
76,Lumyna Bluecove Alt Crdt UCITS B GBP Acc,52.8.LU2225891857,,,,,,,False,,,
77,Lumyna Bluecove Alt Crdt UCITS B USD Acc,52.8.LU2225892079,1.58,-5.75,,,,,False,,,
